1,Democratic Republic of the Congo,Université Catholique de Bukavu
2,Sudan,Sudan University for Science and Technology
3,Serbia,University of Fine Arts Belgrade
4,Vietnam,Vietnam National University of Agriculture
5,United States,Skidmore College
6,China,South West University Yucai College
7,Czech Republic,Cevro Institut College
8,China,China Academy of Art
9,Brazil,Centro Universitário Claretiano
10,United States,Rochester Institute of Technology
11,China,Northeastern University
12,Belarus,Belarussian State University of Informatics and Radioelectronics
13,Ukraine,National Metallurgical Academy of Ukraine
14,Portugal,Instituto Superior de Ciências Educativas
15,Canada,University of Prince Edward Island
16,Ireland,Carlow Institute of Technology
17,Thailand,Ramkhamhaeng University
18,Brazil,Universidade de Cruz Alta
19,Indonesia,Universitas Sanata Dharma
20,Indonesia,Universitas Kristen Indonesia
21,Bangladesh,University of Science & Technology Chittagong
22,Canada,Nova Scotia College of Art and Design
23,Bulgaria,"Academy of Music, Dance and Fine Arts"
24,China,Jiangsu University of Science and Technology
25,United States,Brooks Institute of Photography
26,China,University of Hydraulic Electric Engineering
27,Japan,Polytechnic University
28,Malta,University of Malta
29,China,Chongqing Normal University Foreign Trade and Business College
30,United States,Gallaudet University
31,Indonesia,Universitas Katolik Parahyangan
32,China,Chongqing Medical University
33,China,Shandong Medical University
34,Iran,Tabriz College of Technology
35,Poland,Technical University of Rzeszow
36,Ukraine,Lviv Medical University
37,Yemen,Saba University
38,Russia,"International University of Fundamental Studies, St. Petersburg"
39,Indonesia,Universitas Merdeka Malang
40,Iran,Sheikhbahaee University
41,China,Zhongnan University of Economics and Law
42,South Africa,University of Witwatersrand
43,Myanmar,Technological University (Pyay)
44,France,École Nationale Supérieure d'Ingénieurs de Constructions Aéronautiques
45,Slovenia,University of Primorska
46,Indonesia,Universitas Muhammadiyah Makassar
47,Indonesia,Universitas Padjadjaran
48,China,South China Construction University
49,Russia,Institute of Management and Economy
50,China,South China University of Technology
51,Portugal,Universidade de Evora
52,China,Sichuan Normal University
53,Moldova,Moldova State University
54,China,Yangtze University
55,China,Henan Buddhist College
56,Philippines,"University of the East, Coloocan"
57,Japan,Kansai Gaidai University
58,United States,University of Charleston South Carolina
59,Greece,Technological Education Institute of Kavala
60,Malaysia,Sultan Ahmad Shah Islamic College
61,Indonesia,Universitas Airlangga
62,Philippines,Divine Word College of Legazpi
63,Bosnia and Herzegovina,International University of Sarajevo
64,Russia,Samara State Aerospace University
65,Dominican Republic,Universidad Agroforestal Fernando A.Meriño
66,China,Henan Agriculture University
67,Brazil,Universidade Cidade de São Paulo
68,Russia,Gorno-Altaisk State University
69,Venezuela,Universidad de Oriente
70,Botswana,Botswana College of Agriculture
71,China,Peking University
72,China,Ningbo University
73,China,Xi'an Jiaotong-Liverpool University
74,China,Chongqing University of Communications
75,China,Jishou University
76,Ukraine,Petro Mohyla Black Sea State University
77,Brazil,Universidade Estadual de Montes Claros
78,China,Yunnan Agriculture University
79,Russia,Maxim Gorky Institute of Literature
80,China,University of International Business and Economics
81,Canada,University of Waterloo
82,China,Guangzhou University of Traditional Chinese Medicine
83,Uzbekistan,Tashkent Medical Academy
84,France,Université Catholique de Lyon
85,United States,Knoxville College
86,China,Guangxi Normal University
87,China,North China University of Technology
88,Czech Republic,Technical University of Liberec
89,Zimbabwe,Catholic University in Zimbabwe
90,Lebanon,Lebanese University
91,Indonesia,Politeknik Negeri Bandung
92,Indonesia,Universitas Bhayangkara Surabaya
93,Indonesia,Universitas Muhammadiyah Mataram
94,Russia,Vladimir State University
95,El Salvador,"Universidad Salvadorena ""Alberto Masferrer"""
96,Japan,Sapporo International University
97,Brazil,Universidade São Judas Tadeu
98,Ukraine,Lviv Polytechnic National University
99,China,Northwest A&F University
100,China,Nanjing Union Theological Seminary
101,Latvia,School of Business and Finance
102,Russia,Moscow State University of Ecological Engineering
103,Poland,Aleksander Gieysztor School of Humanities in Pultusk
104,Poland,Katowice School of Economics
105,Philippines,University of Pangasinan
106,Indonesia,Universitas Negeri Manado
107,Portugal,Instituto Politécnico de Viana do Castelo
108,Peru,Universidad Nacional de Piura
109,China,Wuxi University of Light Industry
110,South Korea,Kwangju National University of Education
111,American Samoa,Karunya Institute Of Technology ( Deemed University)
112,Philippines,Saint Paul University
113,Mexico,Dirección General de Institutos Tecnológicos
114,Ukraine,Bila Cerkva State Agrarian University
115,France,Ecole Supérieure des Sciences Commerciales d'Angers
116,Portugal,Instituto Politécnico de Leiria
117,Argentina,Universidad Adventista del Plata
118,Germany,Evangelische Fachhochschule Ludwigshafen Hochschule für Sozial- und Gesundheitswesen
119,Canada,University of Western Ontario
120,Indonesia,Universitas Islam Nusantara
121,Indonesia,Universitas Pancasakti Tegal
122,China,Qingdao University
123,Mongolia,Mongolian National University
124,Indonesia,Universitas Katolik Widya Manadala
125,Philippines,Liceo de Cagayan University
126,Sri Lanka,Open University of Sri Lanka
127,Indonesia,Universitas Lancang Kuning
128,Russia,Ural State Conservatory
129,China,Luzhou Medical College
130,China,University of International Business and Economics
131,China,Central China Normal University
132,Colombia,Universidad de Los Andes
133,United States,Marycrest International University
134,China,Northwest University Xi'an
135,United States,Gwynedd-Mercy College
136,Egypt,Menoufia University
137,Pakistan,Mohi-ud-Din Islamic University
138,China,Guangzhou Normal University
139,China,Hefei University of Technology
140,Japan,Meikai University
141,Russia,St. Petersburg State Electrotechnical University
142,United States,Western Michigan University
143,Philippines,Tarlac State University
144,Russia,Maxim Gorky Institute of Literature
145,Portugal,Instituto Superior de Informática e Gestão
146,Russia,Yaroslavl International University of Business and New Technologies
147,Luxembourg,International University Institute of Luxembourg
148,Thailand,Thaksin University
149,North Korea,Pyongyang University of Science and Technology
150,China,Wenzhou University
151,Brazil,Centro Universitário Barao de Maua
152,Russia,Omsk State Agrarian University
153,Croatia,University of Zagreb
154,United States,Columbia College Chicago
155,Tunisia,Université de Monastir
156,Haiti,Université Chrétienne du Nord d'Haiti
157,China,Qinghai University
158,Indonesia,Politeknik Negeri Sambas
159,Vietnam,Danang College Of Technology
160,Ireland,Galway Mayo Institute of Technology
161,China,Jinan University
162,Russia,Tuva State University
163,Laos,National University of Laos
164,Cameroon,Université de Dschang
165,Czech Republic,"University of Northern Virginia, Prague Campus"
166,Poland,Agricultural University of Szczecin
167,Indonesia,Universitas Sarjanawiyata Tamansiswa
168,Morocco,Ecole des Hautes Etudes en Gestion Informatique et Communication
169,Argentina,Universidad Autónoma de Entre Ríos
170,Portugal,Instituto Politécnico de Coimbra
171,Portugal,Universidade do Porto
172,United Arab Emirates,American University in Dubai
173,France,Ecole Nationale d'Administration
174,Chile,Universidad Academia de Humanismo Cristiano
175,Moldova,Academy of Economic Studies of Moldova
176,Thailand,Chaopraya University 
177,Malaysia,Universiti Darul Iman
178,China,Shanghai Lixin University of Commerce
179,Russia,Nizhny Novgorod State Academy of Medicine
180,Cuba,Instituto Superior Politécnico José Antonio Echeverría
181,Philippines,Philippine Normal University
182,Argentina,Universidad Nacional de General San Martín
183,China,Qingdao University of Science and Technology
184,China,Luzhou Medical College
185,Indonesia,Universitas Slamet Riyadi Surakarta
186,China,Zhejiang Normal University
187,Argentina,Universidad de la Fraternidad de Agrupaciones Santo Tomas de Aquino (FASTA)
188,Philippines,University of Baguio
189,Botswana,Botswana College of Agriculture
190,China,Zhengzhou Grain University
191,China,Shanghai Sanda University
192,China,Zhejiang Gongshang University
193,Indonesia,Universitas Muhammadiyah Yogyakarta
194,Italy,Università Pontificia Salesiana
195,Indonesia,Universitas Pancasila
196,Venezuela,"Universidad Nacional Experimental de los Llanos Occidentales ""Ezequiel Zamora"""
197,Czech Republic,University of Ostrava
198,Sweden,Jönköping University College
199,Poland,Akademia Podlaska
200,Libya,Omar Al-Mukhtar University
201,Canada,"University of Toronto, Mississauga"
202,China,Gansu Agricultural University
203,Indonesia,Institut Teknologi Sepuluh Nopember
204,Colombia,Universidad Cooperativa de Colombia
205,Portugal,Instituto Politécnico do Cávado e do Ave
206,Mexico,Universidad Metropolitana Latin Campus
207,Comoros,East Somalia University
208,United States,State University of New York Health Sience Centre Syracuse
209,Thailand,South-East Asia University
210,France,Conservatoire National des Arts et Métiers
211,Indonesia,Universitas Negeri Manado
212,Czech Republic,Charles University Prague
213,France,École Nationale Supérieure d'Ingénieurs de Constructions Aéronautiques
214,China,Hainan University
215,China,Northeast Agricultural University
216,Sweden,World Maritime University
217,South Africa,University of Stellenbosch
218,Sweden,Jönköping University College
