1,Kitoi Bay Seaplane Base,KKB,US,NA,10
2,Orlando International Airport,KMCO,US,NA,96
3,Keflavik International Airport,BIKF,IS,EU,171
4,Point Hope Airport,PAPO,US,NA,12
5,Straubing Airport,EDMS,DE,EU,1047
6,Gobabis Airport,FYGB,NA,AF,4731
7,Jagdalpur Airport,,IN,AS,1822
8,Gwa Airport,VYGW,MM,AS,10
9,Mazar I Sharif Airport,OAMS,AF,AS,1284
10,Hood Airport,NZMS,NZ,OC,364
11,Santa Maria Pub/Capt G Allan Hancock Field,KSMX,US,NA,261
12,Kankesanturai Airport,VCCJ,LK,AS,33
13,May Creek Airport,MYK,US,NA,1650
14,Ashgabat International Airport,UTAA,TM,AS,692
15,Lansdowne House Airport,CYLH,CA,NA,834
16,Port of Poulsbo Marina Moorage Seaplane Base,83Q,US,NA,0
17,Sovetskiy Airport,USHS,RU,AS,351
18,New River Valley Airport,KPSK,US,NA,2105
19,Sinak Airport,,ID,AS,7334
20,Belo sur Tsiribihina Airport,FMML,MG,AF,154
21,Lakeba Island Airport,NFNK,FJ,OC,280
22,Mytilene International Airport,LGMT,GR,EU,60
23,Guemar Airport,DAUO,DZ,AF,203
24,Santo Ângelo Airport,SBNM,BR,SA,1056
25,Caiguna Airport,YCAG,AU,OC,87
26,Mulatupo Airport,,PA,NA,15
27,Sipitang Airport,,MY,AS,44
28,Karato Airport,,PG,OC,109
29,Desroches Airport,FSDR,SC,AF,10
30,Sentani International Airport,WAJJ,ID,AS,289
31,Ascona Airport,LSZD,CH,EU,655
32,Qaanaaq Airport,BGQQ,GL,NA,51
33,Phu Cat Airport,VVPC,VN,AS,80
34,Biniguni Airport,AYBZ,PG,OC,215
35,Salgado Filho Airport,SBPA,BR,SA,11
36,João Correa da Rocha Airport,SBMA,BR,SA,357
37,Chilko Lake (Tsylos Park Lodge) Airport,CAG3,CA,NA,3850
38,Djambala Airport,FCBD,CG,AF,2595
39,Amahai Airport,WAPA,ID,AS,29
40,Tabora Airport,HTTB,TZ,AF,3868
41,Centennial Airport,KAPA,US,NA,5885
42,Kasese Airport,HUKS,UG,AF,3146
43,Sault Ste Marie Airport,CYAM,CA,NA,630
44,King Cove Airport,PAVC,US,NA,155
45,Open Bay Airport,AYOY,PG,OC,33
46,Naval Outlying Field Imperial Beach (Ream Field),KNRS,US,NA,24
47,Strahan Airport,YSRN,AU,OC,20
48,Gansner Field,,US,NA,3415
49,Brown Field Municipal Airport,KSDM,US,NA,526
50,Tamuin Airport,MMTN,MX,NA,164
51,Camiguin Airport,RPMH,PH,AS,53
52,Ngjiva Pereira Airport,FNGI,AO,AF,3566
53,Cat Lake Airport,CYAC,CA,NA,1344
54,Siwo Airport,NVSE,VU,OC,7
55,Loreto International Airport,MMLT,MX,NA,34
56,Kerio Valley Airport,,KE,AF,4325
57,Lalmonirhat Airport,VGLM,BD,AS,106
58,Bonito Airport,SBDB,BR,SA,1180
59,Napakiak Airport,PANA,US,NA,17
60,Concord Municipal Airport,KCON,US,NA,342
61,Beijing Capital International Airport,ZBAA,CN,AS,116
62,Los Roques Airport,SVRS,VE,SA,17
63,Lympne Airport,EGMK,GB,EU,351
64,Imperial County Airport,KIPL,US,NA,-54
65,Selawik Airport,PASK,US,NA,17
66,Koingnaas Airport,,ZA,AF,228
67,Duqm International Airport,OODQ,OM,AS,364
68,Aspen-Pitkin Co/Sardy Field,KASE,US,NA,7820
69,Anvik Airport,PANV,US,NA,291
70,Cravo Norte Airport,SKCN,CO,SA,341
71,Lea County Regional Airport,KHOB,US,NA,3661
72,Hinthada Airport,VYHT,MM,AS,32
73,Umiujaq Airport,CYMU,CA,NA,250
74,Kar Kar Airport,AYKR,PG,OC,130
75,Gorna Oryahovitsa Airport,LBGO,BG,EU,285
76,Vunisea Airport,NFKD,FJ,OC,6
77,Bunsil Airport,AYNS,PG,OC,201
78,Manja Airport,FMSJ,MG,AF,787
79,Kiel-Holtenau Airport,EDHK,DE,EU,102
80,Naracoorte Airport,YNRC,AU,OC,169
81,Le Mans-Arnage Airport,LFRM,FR,EU,194
82,Pierre Regional Airport,KPIR,US,NA,1744
83,Congo Town Airport,MYAK,BS,NA,15
84,Parndana Airport,YPDA,AU,OC,545
85,Piešťany Airport,LZPP,SK,EU,545
86,Eastern Oregon Regional At Pendleton Airport,KPDT,US,NA,1497
87,Round Lake (Weagamow Lake) Airport,CZRJ,CA,NA,974
88,Mosquera Airport,,CO,SA,50
89,Binbrook Airfield,EGXB,GB,EU,12
90,Tonghua Sanyuanpu Airport,ZYTN,CN,AS,1200
91,Corumbá International Airport,SBCR,BR,SA,461
92,Kangiqsualujjuaq (Georges River) Airport,CYLU,CA,NA,215
93,Wheeler Army Airfield,PHHI,US,NA,837
94,Tahoua Airport,DRRT,NE,AF,1266
95,Twente Airport,EHTW,NL,EU,114
96,Andavadoaka Airport,,MG,AF,30
97,Santa Bárbara Airport,,CO,SA,10
98,Hang Nadim International Airport,WIDD,ID,AS,126
99,Francisco de Sá Carneiro Airport,LPPR,PT,EU,228
100,Columbus Metropolitan Airport,KCSG,US,NA,397
101,Sena Madureira Airport,,BR,SA,540
102,Kaolack Airport,GOOK,SN,AF,26
103,Culberson County Airport,KVHN,US,NA,3957
104,Milyakburra Airport,,AU,OC,85
105,Cochstedt Airport,EDBC,DE,EU,594
106,Aiyura Airport,AYAY,PG,OC,5355
107,Buol Airport,WAMY,ID,AS,27
108,Opinaca Aerodrome,,CA,NA,692
109,Sardar Vallabhbhai Patel International Airport,VAAH,IN,AS,189
110,Torembi Airport,AYVM,PG,OC,90
111,Bapi Airstrip,AYBP,PG,OC,2930
112,Rhinelander Oneida County Airport,KRHI,US,NA,1624
113,Sendai Airport,RJSS,JP,AS,15
114,Edward Bodden Airfield,MWCL,KY,NA,3
115,Cowley Airport,CYYM,CA,NA,3876
116,Maimun Saleh Airport,WITN,ID,AS,393
117,Grajaú Airport,SNGJ,BR,SA,773
118,Port-de-Paix Airport,MTPX,HT,NA,9
119,Tabuk Airport,OETB,SA,AS,2551
120,Ulan-Ude Airport (Mukhino),UIUU,RU,AS,1690
121,Angoulême-Brie-Champniers Airport,LFBU,FR,EU,436
122,Marromeu Airport,,MZ,AF,43
123,Scammon Bay Airport,PACM,US,NA,14
124,Shahroud Airport,OIMJ,IR,AS,4215
125,Khaneh Airport,OITH,IR,AS,4804
126,Whale Pass Seaplane Float Harbor Facility,,US,NA,0
127,Obando Airport,SKPD,CO,SA,460
128,Skiathos Island National Airport,LGSK,GR,EU,54
129,Ormoc Airport,RPVO,PH,AS,83
130,La Guaira Airport,,VE,SA,2569
131,Sukhumi Dranda Airport,UGSS,GE,AS,53
132,Mana Island Airport,NFMA,FJ,OC,0
133,Komatipoort Airport,FAKP,ZA,AF,541
134,Alferez FAP Alfredo Vladimir Sara Bauer Airport,SPAS,PE,SA,728
135,Samaná El Catey International Airport,MDCY,DO,NA,30
136,Foumban Nkounja Airport,FKKM,CM,AF,3963
137,Sanikiluaq Airport,CYSK,CA,NA,104
138,Hao Airport,NTTO,PF,OC,10
139,Chester County G O Carlson Airport,KMQS,US,NA,660
140,Fremont County Airport,1V6,US,NA,5439
141,Kabalo Airport,FZRM,CD,AF,1840
142,Rimatara Airport,NTAM,PF,OC,60
143,La Pedrera Airport,SKLP,CO,SA,590
144,San Carlos De Bariloche Airport,SAZS,AR,SA,2774
145,Bismarck Municipal Airport,KBIS,US,NA,1661
146,Palm Beach Seaplane Base,,AU,OC,0
147,Wudinna Airport,YWUD,AU,OC,310
148,Badu Island Airport,YBAU,AU,OC,14
149,Seinäjoki Airport,EFSI,FI,EU,302
150,Achmad Yani Airport,WAHS,ID,AS,10
151,Lake Placid Airport,KLKP,US,NA,1747
152,Barkley Regional Airport,KPAH,US,NA,410
153,Anuradhapura Air Force Base,VCCA,LK,AS,324
154,Surgut Airport,USRR,RU,AS,200
155,Nanaimo Airport,CYCD,CA,NA,92
